2024:02:25:18:51:42; 3573.5704452991486; 3494705.5270041022; ["y","l","t","ä","j",".:","ü","ö","m",",;","+*~","-_","r","n","u","w","a","z","e€","i","d","s","b","k","q@","c","f","o","<>|","x","p","v","g","h","#'"]
2024:02:25:18:53:13; 3664.695435523987; 3435537.4771046666; [",;","l","h","ä","j",".:","m","c","ü","+*~","o","w","r","n","u","a","t","k","e€","i","d","s","b","-_","q@","y","f","z","<>|","x","p","v","g","ö","#'"]
2024:02:25:19:10:06; 4677.233521699905; 3371594.277626696; ["y","b","w","j","k",".:","c","ö","m","+*~",",;","<>|","r","i","t","u","a","ä","e€","n","d","s","l","-_","q@","o","f","h","p","x","ü","v","g","z","#'"]
2024:02:25:19:11:38; 4768.9989631175995; 3371594.277626696; ["y","b","w","j","k",".:","c","ö","m","+*~",",;","<>|","r","i","t","u","a","ä","e€","n","d","s","l","-_","q@","o","f","h","p","x","ü","v","g","z","#'"]
2024:02:25:19:13:10; 4861.530028104782; 3371594.277626696; ["y","b","w","j","k",".:","c","ö","m","+*~",",;","<>|","r","i","t","u","a","ä","e€","n","d","s","l","-_","q@","o","f","h","p","x","ü","v","g","z","#'"]
2024:02:25:19:14:42; 4953.732977151871; 3371594.277626696; ["y","b","w","j","k",".:","c","ö","m","+*~",",;","<>|","r","i","t","u","a","ä","e€","n","d","s","l","-_","q@","o","f","h","p","x","ü","v","g","z","#'"]
2024:02:25:19:16:14; 5045.55238199234; 3371594.277626696; ["y","b","w","j","k",".:","c","ö","m","+*~",",;","<>|","r","i","t","u","a","ä","e€","n","d","s","l","-_","q@","o","f","h","p","x","ü","v","g","z","#'"]
2024:02:25:19:17:45; 5136.8022084236145; 3371594.277626696; ["y","b","w","j","k",".:","c","ö","m","+*~",",;","<>|","r","i","t","u","a","ä","e€","n","d","s","l","-_","q@","o","f","h","p","x","ü","v","g","z","#'"]
2024:02:25:19:19:17; 5228.380232095718; 3371594.277626696; ["y","b","w","j","k",".:","c","ö","m","+*~",",;","<>|","r","i","t","u","a","ä","e€","n","d","s","l","-_","q@","o","f","h","p","x","ü","v","g","z","#'"]
2024:02:25:19:20:49; 5320.270749568939; 3371594.277626696; ["y","b","w","j","k",".:","c","ö","m","+*~",",;","<>|","r","i","t","u","a","ä","e€","n","d","s","l","-_","q@","o","f","h","p","x","ü","v","g","z","#'"]
2024:02:25:19:22:21; 5412.301899909973; 3371594.277626696; ["y","b","w","j","k",".:","c","ö","m","+*~",",;","<>|","r","i","t","u","a","ä","e€","n","d","s","l","-_","q@","o","f","h","p","x","ü","v","g","z","#'"]
2024:02:25:19:23:52; 5503.879924297333; 3371594.277626696; ["y","b","w","j","k",".:","c","ö","m","+*~",",;","<>|","r","i","t","u","a","ä","e€","n","d","s","l","-_","q@","o","f","h","p","x","ü","v","g","z","#'"]
2024:02:25:19:25:24; 5595.518689393997; 3365701.794334989; ["g","b","w","j","k",".:","c","ö","m","+*~",",;","<>|","r","i","t","u","a","ä","e€","n","d","s","l","-_","q@","o","f","h","p","x","ü","v","y","z","#'"]
2024:02:25:19:26:57; 5688.159239768982; 3365701.794334989; ["g","b","w","j","k",".:","c","ö","m","+*~",",;","<>|","r","i","t","u","a","ä","e€","n","d","s","l","-_","q@","o","f","h","p","x","ü","v","y","z","#'"]
2024:02:25:19:28:30; 5781.627915382385; 3365701.794334989; ["g","b","w","j","k",".:","c","ö","m","+*~",",;","<>|","r","i","t","u","a","ä","e€","n","d","s","l","-_","q@","o","f","h","p","x","ü","v","y","z","#'"]
2024:02:25:19:30:03; 5874.065347194672; 3352493.068004953; ["y","b","w","j","k",".:","c","ö","m","+*~","v","<>|","r","i","t","u","a","ä","e€","n","d","s","l","-_","q@","o","f","h","p","x","ü",",;","z","g","#'"]
2024:02:25:19:31:33; 5964.658993959427; 3352493.068004953; ["y","b","w","j","k",".:","c","ö","m","+*~","v","<>|","r","i","t","u","a","ä","e€","n","d","s","l","-_","q@","o","f","h","p","x","ü",",;","z","g","#'"]
2024:02:25:19:33:04; 6055.48709154129; 3310052.9933187277; ["g","b","w","j","k",".:","c","f","m","+*~",",;","<>|","r","i","t","u","a","ä","n","e€","d","s","l","-_","q@","o","ö","h","p","x","ü","v","y","z","#'"]
2024:02:25:19:34:36; 6147.23702788353; 3297152.8001408814; ["g","b","w","j","k",".:","c","f","m","+*~","v","<>|","r","i","t","u","a","ä","n","e€","d","s","l","-_","q@","o","ö","h","p","x","ü","y","z",",;","#'"]
2024:02:25:19:39:07; 6418.047425031662; 3273572.006192608; ["g","b","w","x","k","j",".:","ö","m","+*~",",;","<>|","r","i","t","u","a","ä","n","e€","d","s","l","-_","q@","o","y","h","p","c","ü","f","v","z","#'"]
2024:02:25:19:40:39; 6510.203631162643; 3273572.006192608; ["g","b","w","x","k","j",".:","ö","m","+*~",",;","<>|","r","i","t","u","a","ä","n","e€","d","s","l","-_","q@","o","y","h","p","c","ü","f","v","z","#'"]
2024:02:25:19:42:09; 6600.219221830368; 3273572.006192608; ["g","b","w","x","k","j",".:","ö","m","+*~",",;","<>|","r","i","t","u","a","ä","n","e€","d","s","l","-_","q@","o","y","h","p","c","ü","f","v","z","#'"]
