2023:11:05:12:52:54; 1039.8829233646393; 1619683.337300072; ["ö","b","l","y","m","x","v","c","h","g","z","j","s","t","e€","d","n","u","i","o","r","a","k","ä","#'","-_","ü","f",",;","+*~","<>|","w","q@","p",".:"]
2023:11:05:12:53:24; 1070.148577928543; 1619683.337300072; ["ö","b","l","y","m","x","v","c","h","g","z","j","s","t","e€","d","n","u","i","o","r","a","k","ä","#'","-_","ü","f",",;","+*~","<>|","w","q@","p",".:"]
2023:11:05:12:53:55; 1100.4610781669617; 1619683.337300072; ["ö","b","l","y","m","x","v","c","h","g","z","j","s","t","e€","d","n","u","i","o","r","a","k","ä","#'","-_","ü","f",",;","+*~","<>|","w","q@","p",".:"]
2023:11:05:12:54:24; 1130.3517010211945; 1619683.337300072; ["ö","b","l","y","m","x","v","c","h","g","z","j","s","t","e€","d","n","u","i","o","r","a","k","ä","#'","-_","ü","f",",;","+*~","<>|","w","q@","p",".:"]
2023:11:05:12:54:55; 1160.7735407352448; 1599196.9819876095; ["ö","b","l","y","m","x","v","c","h","g","z","j","s","t","e€","d","n","u","i","a","r","o","k","ä","#'","-_","ü","f",",;","+*~","<>|","w","q@","p",".:"]
2023:11:05:12:55:25; 1191.1173288822174; 1599196.9819876095; ["ö","b","l","y","m","x","v","c","h","g","z","j","s","t","e€","d","n","u","i","a","r","o","k","ä","#'","-_","ü","f",",;","+*~","<>|","w","q@","p",".:"]
2023:11:05:12:55:56; 1221.8829543590546; 1599196.9819876095; ["ö","b","l","y","m","x","v","c","h","g","z","j","s","t","e€","d","n","u","i","a","r","o","k","ä","#'","-_","ü","f",",;","+*~","<>|","w","q@","p",".:"]
2023:11:05:12:56:26; 1251.5235776901245; 1591793.9335176419; ["ü","b","o","y","m","-_","v","c","h","p","z","j","s","t","e€","d","n","u","i","l","r","a","k","ä",".:","x","ö","f",",;","+*~","<>|","w","q@","g","#'"]
2023:11:05:12:56:56; 1282.086077451706; 1591793.9335176419; ["ü","b","o","y","m","-_","v","c","h","p","z","j","s","t","e€","d","n","u","i","l","r","a","k","ä",".:","x","ö","f",",;","+*~","<>|","w","q@","g","#'"]
2023:11:05:12:57:27; 1313.2735781669617; 1591793.9335176419; ["ü","b","o","y","m","-_","v","c","h","p","z","j","s","t","e€","d","n","u","i","l","r","a","k","ä",".:","x","ö","f",",;","+*~","<>|","w","q@","g","#'"]
2023:11:05:12:57:58; 1344.1329333782196; 1591793.9335176419; ["ü","b","o","y","m","-_","v","c","h","p","z","j","s","t","e€","d","n","u","i","l","r","a","k","ä",".:","x","ö","f",",;","+*~","<>|","w","q@","g","#'"]
2023:11:05:12:58:28; 1374.382952928543; 1591793.9335176419; ["ü","b","o","y","m","-_","v","c","h","p","z","j","s","t","e€","d","n","u","i","l","r","a","k","ä",".:","x","ö","f",",;","+*~","<>|","w","q@","g","#'"]
2023:11:05:12:58:58; 1404.3673267364502; 1576351.532140045; ["ö","b","l","y","m","x","v","o","c","g","z","ä","s","t","e€","d","n","u","i","a","r","h","k","j","#'","-_","ü","f",",;","+*~","<>|","w","q@","p",".:"]
2023:11:05:12:59:29; 1435.1641654968262; 1576351.532140045; ["ö","b","l","y","m","x","v","o","c","g","z","ä","s","t","e€","d","n","u","i","a","r","h","k","j","#'","-_","ü","f",",;","+*~","<>|","w","q@","p",".:"]
2023:11:05:13:00:00; 1465.851702928543; 1575842.5946317648; ["ö","b","l","y","m","x","v","o","c","g","z","j","s","t","e€","d","n","u","i","a","r","h","k","ä",".:","-_","ü","f",",;","+*~","<>|","w","q@","p","#'"]
2023:11:05:13:00:30; 1496.0442135334015; 1573626.1041631422; ["g","b","l","y","m","x","v","o","c","ö","z","ä","s","t","e€","d","n","u","i","a","r","h","k","j","#'","-_","ü","f",",;","+*~","<>|","w","q@","p",".:"]
2023:11:05:13:01:00; 1526.325490951538; 1558863.3198922528; ["ö","b","l","y","m","x","v","o","c","g","z","j","s","t","e€","d","n","u","i","a","r","h","k","ä",".:","w","ü","f",",;","+*~","<>|","-_","q@","p","#'"]
2023:11:05:13:01:30; 1556.1536118984222; 1543202.206462442; ["ö","b","o","y","m","x","v","c","l","g","z","j","s","t","e€","d","a","u","i","n","r","k","h","ä","#'","-_","ü","f",",;","+*~","<>|","w","q@","p",".:"]
