2023:11:05:16:26:24; 911.6614394187927; 1556750.1222618655; ["j","o","p","u","w","#'","z","t","h","c","y",".:","f","e€","n","r","k","ö","i","d","s","a","m","<>|","x","+*~","ü","ä","q@","g","v","-_","l","b",",;"]
2023:11:05:16:26:55; 942.536438703537; 1556750.1222618655; ["j","o","p","u","w","#'","z","t","h","c","y",".:","f","e€","n","r","k","ö","i","d","s","a","m","<>|","x","+*~","ü","ä","q@","g","v","-_","l","b",",;"]
2023:11:05:16:27:25; 972.9426908493042; 1556750.1222618655; ["j","o","p","u","w","#'","z","t","h","c","y",".:","f","e€","n","r","k","ö","i","d","s","a","m","<>|","x","+*~","ü","ä","q@","g","v","-_","l","b",",;"]
2023:11:05:16:27:56; 1003.2083129882812; 1543833.7097456139; ["a","o","c","u","w","#'","z","t","h","-_","j",".:","f","e€","n","r","k","g","i","d","s","l","m",",;","+*~","ö","q@","ä","x","p","v","y","ü","b","<>|"]
2023:11:05:16:29:26; 1093.8020622730255; 1539987.7657825728; ["j","o","ü","u","w","#'","z","t","h","c",".:","<>|","f","e€","n","r","k","g","i","d","s","a","m","y","x","+*~","p","ä","q@","ö","v","-_","l","b",",;"]
2023:11:05:16:29:57; 1124.0989394187927; 1539987.7657825728; ["j","o","ü","u","w","#'","z","t","h","c",".:","<>|","f","e€","n","r","k","g","i","d","s","a","m","y","x","+*~","p","ä","q@","ö","v","-_","l","b",",;"]
2023:11:05:16:30:27; 1154.5999763011932; 1539987.7657825728; ["j","o","ü","u","w","#'","z","t","h","c",".:","<>|","f","e€","n","r","k","g","i","d","s","a","m","y","x","+*~","p","ä","q@","ö","v","-_","l","b",",;"]
2023:11:05:16:30:58; 1185.318728685379; 1533663.5438419003; ["j","o","ü","u","w","#'","z","t","h","c","y",".:","f","e€","n","r","k","g","d","i","s","a","m","<>|","x","+*~","ö","ä","q@","p","v","-_","l","b",",;"]
2023:11:05:16:31:28; 1215.9124760627747; 1533663.5438419003; ["j","o","ü","u","w","#'","z","t","h","c","y",".:","f","e€","n","r","k","g","d","i","s","a","m","<>|","x","+*~","ö","ä","q@","p","v","-_","l","b",",;"]
2023:11:05:16:31:59; 1246.3187248706818; 1533663.5438419003; ["j","o","ü","u","w","#'","z","t","h","c","y",".:","f","e€","n","r","k","g","d","i","s","a","m","<>|","x","+*~","ö","ä","q@","p","v","-_","l","b",",;"]
2023:11:05:16:32:29; 1276.0843524932861; 1533663.5438419003; ["j","o","ü","u","w","#'","z","t","h","c","y",".:","f","e€","n","r","k","g","d","i","s","a","m","<>|","x","+*~","ö","ä","q@","p","v","-_","l","b",",;"]
2023:11:05:16:32:59; 1306.6312265396118; 1533663.5438419003; ["j","o","ü","u","w","#'","z","t","h","c","y",".:","f","e€","n","r","k","g","d","i","s","a","m","<>|","x","+*~","ö","ä","q@","p","v","-_","l","b",",;"]
2023:11:05:16:33:29; 1336.8030989170074; 1490331.8291428697; ["j","o","ü","w","x","#'","z","t","h","c",".:","y","u","e€","n","r","k","g","d","i","s","a","m","<>|","f","+*~","ö","ä","q@","p","v","-_","l","b",",;"]
2023:11:05:16:34:00; 1367.2718541622162; 1490331.8291428697; ["j","o","ü","w","x","#'","z","t","h","c",".:","y","u","e€","n","r","k","g","d","i","s","a","m","<>|","f","+*~","ö","ä","q@","p","v","-_","l","b",",;"]
2023:11:05:16:35:31; 1458.6624765396118; 1483066.0145891663; ["j","o","a","f","ü","#'","z","w","h","c",".:","y","u","e€","n","r","k","g","d","i","s","t","p","<>|","x","+*~","ö","ä","q@","m","v","-_","b","l",",;"]
2023:11:05:16:36:01; 1488.6156013011932; 1468516.0656458382; ["j","o","a","f","ü","#'","l","w","h","c",".:","y","u","e€","n","r","k","g","d","i","s","t","p","<>|","x","+*~","ö","ä","q@","m","v","-_","b","z",",;"]
2023:11:05:16:36:31; 1518.849937915802; 1445998.1207137655; ["j","o","a","u","ü","#'","z","w","h","c","f","y","g","e€","n","r","k","l","d","i","s","t","m","<>|","x","+*~","ö","ä","q@","p","v","-_","b",".:",",;"]
2023:11:05:16:37:03; 1550.0843498706818; 1445998.1207137655; ["j","o","a","u","ü","#'","z","w","h","c","f","y","g","e€","n","r","k","l","d","i","s","t","m","<>|","x","+*~","ö","ä","q@","p","v","-_","b",".:",",;"]
2023:11:05:16:37:32; 1579.5374376773834; 1445998.1207137655; ["j","o","a","u","ü","#'","z","w","h","c","f","y","g","e€","n","r","k","l","d","i","s","t","m","<>|","x","+*~","ö","ä","q@","p","v","-_","b",".:",",;"]
2023:11:05:16:38:01; 1609.0062193870544; 1420862.8766846273; ["j","o","a","l","ü","#'","f","w","h","c",".:","y","u","e€","n","r","k","g","d","i","s","t","z","<>|","x","+*~","ö","ä","q@","m","v","-_","b","p",",;"]
2023:11:05:16:38:31; 1638.4905993938446; 1420862.8766846273; ["j","o","a","l","ü","#'","f","w","h","c",".:","y","u","e€","n","r","k","g","d","i","s","t","z","<>|","x","+*~","ö","ä","q@","m","v","-_","b","p",",;"]
2023:11:05:16:39:01; 1668.8499743938446; 1420862.8766846273; ["j","o","a","l","ü","#'","f","w","h","c",".:","y","u","e€","n","r","k","g","d","i","s","t","z","<>|","x","+*~","ö","ä","q@","m","v","-_","b","p",",;"]
2023:11:05:16:41:01; 1788.380755186081; 1416857.6115460068; ["j","o","a","l","ü","#'","p","w","h","c",".:","y","n","e€","u","r","k","g","d","i","s","t","z","<>|","x","q@","ö","ä","+*~","v","m","-_","b","f",",;"]
2023:11:05:16:41:31; 1818.412005662918; 1414567.6760474967; ["j","o","a","l","ü","#'","p","w","h","c",".:","y","n","e€","u","r","k","g","d","i","s","t","z","<>|","x","+*~","ö","ä","q@","m","v","-_","b","f",",;"]
2023:11:05:16:42:02; 1849.0838418006897; 1414567.6760474967; ["j","o","a","l","ü","#'","p","w","h","c",".:","y","n","e€","u","r","k","g","d","i","s","t","z","<>|","x","+*~","ö","ä","q@","m","v","-_","b","f",",;"]
2023:11:05:16:42:35; 1882.4588797092438; 1410171.6964119321; ["z","o","a","l","ü","#'","p","w","h","c","<>|","y","n","e€","u","r","k","g","d","i","s","t","j",".:","x","+*~","ö","ä","q@","m","v","-_","b","f",",;"]
2023:11:05:16:43:05; 1912.8651330471039; 1410171.6964119321; ["z","o","a","l","ü","#'","p","w","h","c","<>|","y","n","e€","u","r","k","g","d","i","s","t","j",".:","x","+*~","ö","ä","q@","m","v","-_","b","f",",;"]
2023:11:05:16:43:35; 1942.1776285171509; 1410171.6964119321; ["z","o","a","l","ü","#'","p","w","h","c","<>|","y","n","e€","u","r","k","g","d","i","s","t","j",".:","x","+*~","ö","ä","q@","m","v","-_","b","f",",;"]
2023:11:05:16:44:05; 1972.2088825702667; 1410171.6964119321; ["z","o","a","l","ü","#'","p","w","h","c","<>|","y","n","e€","u","r","k","g","d","i","s","t","j",".:","x","+*~","ö","ä","q@","m","v","-_","b","f",",;"]
2023:11:05:16:44:35; 2002.9432814121246; 1409132.188063693; ["z","o","a","l","ü","#'","p","w","h","c","j","y","n","e€","u","r","k","g","d","i","s","t",".:","<>|","x","+*~","ö","ä","q@","m","f","-_","b","v",",;"]
2023:11:05:16:45:06; 2033.6620080471039; 1396393.217097111; ["z","o","a","l","k","#'","p","w","h","c","j","y","n","e€","r","u","ü","g","d","i","s","t",".:","<>|",",;","q@","ö","ä","x","m","v","-_","b","f","+*~"]
2023:11:05:16:46:06; 2093.255754470825; 1396250.6532635915; ["z","o","a","l","ü","#'","p","w","h","c","<>|","y","n","e€","r","u","k","g","d","i","s","t","j",".:",",;","+*~","ö","ä","q@","m","v","-_","b","f","x"]
2023:11:05:16:46:36; 2123.1151220798492; 1377682.333888084; ["z","o","a","l","ü","#'","p","w","h","c","<>|","y","n","e€","r","u","k","g","d","i","s","t","j",".:","x","+*~","ö","ä","q@","m","v","-_","b","f",",;"]
2023:11:05:16:47:06; 2153.1776309013367; 1377682.333888084; ["z","o","a","l","ü","#'","p","w","h","c","<>|","y","n","e€","r","u","k","g","d","i","s","t","j",".:","x","+*~","ö","ä","q@","m","v","-_","b","f",",;"]
2023:11:05:16:49:04; 2271.849506855011; 1365640.667834595; ["z","a","l","o","ü","#'","p","j","h","c","w","y","n","e€","r","u","k","g","d","i","s","t",".:","<>|","x","+*~","ö","ä","q@","m","v","-_","b","f",",;"]
