2023:10:03:15:00:16; 2411.1653463840485; 1593938.9403705564; ["b","p","l","x",".:","z","a","w","g","m","q@","+*~","u","e€","t","d","f","o","i","s","r","n","ä",",;","k","-_","j","c","v","ü","y","h","ö","<>|","#'"]
2023:10:03:15:01:19; 2474.2747213840485; 1593938.9403705564; ["b","p","l","x",".:","z","a","w","g","m","q@","+*~","u","e€","t","d","f","o","i","s","r","n","ä",",;","k","-_","j","c","v","ü","y","h","ö","<>|","#'"]
2023:10:03:15:02:22; 2536.6965596675873; 1593938.9403705564; ["b","p","l","x",".:","z","a","w","g","m","q@","+*~","u","e€","t","d","f","o","i","s","r","n","ä",",;","k","-_","j","c","v","ü","y","h","ö","<>|","#'"]
2023:10:03:15:03:24; 2599.4167244434357; 1593938.9403705564; ["b","p","l","x",".:","z","a","w","g","m","q@","+*~","u","e€","t","d","f","o","i","s","r","n","ä",",;","k","-_","j","c","v","ü","y","h","ö","<>|","#'"]
2023:10:03:15:04:27; 2661.72922706604; 1592836.9273497134; ["b","p","l","g","f","z","a","w",".:","x","+*~","q@","u","e€","t","d","m","o","i","s","r","n","ü","j","h","-_","#'","c","<>|","v","y","k","ö","ä",",;"]
2023:10:03:15:06:33; 2788.401099920273; 1587023.9051774987; ["b","p","x","g","f","z","a","w","m","+*~","y","q@","u","e€","t","d","l","o","i","s","r","n","ü","j","h","-_","#'","c","<>|","v",".:","k","ö","ä",",;"]
2023:10:03:15:07:38; 2852.8686244487762; 1587023.9051774987; ["b","p","x","g","f","z","a","w","m","+*~","y","q@","u","e€","t","d","l","o","i","s","r","n","ü","j","h","-_","#'","c","<>|","v",".:","k","ö","ä",",;"]
2023:10:03:15:08:41; 2915.665495634079; 1587023.9051774987; ["b","p","x","g","f","z","a","w","m","+*~","y","q@","u","e€","t","d","l","o","i","s","r","n","ü","j","h","-_","#'","c","<>|","v",".:","k","ö","ä",",;"]
2023:10:03:15:09:43; 2978.087371826172; 1587023.9051774987; ["b","p","x","g","f","z","a","w","m","+*~","y","q@","u","e€","t","d","l","o","i","s","r","n","ü","j","h","-_","#'","c","<>|","v",".:","k","ö","ä",",;"]
2023:10:03:15:10:46; 3040.712370157242; 1576077.5500650823; ["p","x","b","g","f","z","a","w","m","+*~","y","q@","u","e€","t","d","l","o","i","s","r","n","ü","j","h","-_","#'","c","<>|","v",".:","k","ö","ä",",;"]
2023:10:03:15:11:48; 3102.696708679199; 1576077.5500650823; ["p","x","b","g","f","z","a","w","m","+*~","y","q@","u","e€","t","d","l","o","i","s","r","n","ü","j","h","-_","#'","c","<>|","v",".:","k","ö","ä",",;"]
2023:10:03:15:12:50; 3165.462370634079; 1576077.5500650823; ["p","x","b","g","f","z","a","w","m","+*~","y","q@","u","e€","t","d","l","o","i","s","r","n","ü","j","h","-_","#'","c","<>|","v",".:","k","ö","ä",",;"]
2023:10:03:15:13:53; 3228.4779963493347; 1576077.5500650823; ["p","x","b","g","f","z","a","w","m","+*~","y","q@","u","e€","t","d","l","o","i","s","r","n","ü","j","h","-_","#'","c","<>|","v",".:","k","ö","ä",",;"]
2023:10:03:15:14:56; 3290.915497779846; 1576077.5500650823; ["p","x","b","g","f","z","a","w","m","+*~","y","q@","u","e€","t","d","l","o","i","s","r","n","ü","j","h","-_","#'","c","<>|","v",".:","k","ö","ä",",;"]
